ID;Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
dKiaeEwp;6245;Approximate location;Ban Nong, Laos;20.14322,102.83063;Nông trường 4;Farm Unit 4: established on April 1, 2008 and located in Ban Noong Ke - Lao Ngam district - Salavan province. The managed area up to now is 1,467.93 hectares of rubber.;
NojLAe16;6249;Administrative region;;16.99208,104.93659;;;
yFerzxS_;6610;Approximate location;Забужжя, Львівська область, Україна, 80028;50.48348,24.26211;;;
W2axypQZ;6610;Administrative region;Вирів, Львівська область, Україна, 80441;49.98709,24.36633;;;
sYwtPmIm;6610;Approximate location;Самбір, Львівська область, Україна, 81400;49.52071,23.20655;;;
0AR1Vj5a;6610;Approximate location;Радехів, Львівська область, Україна;50.28369,24.63451;;;
rtTf2AoE;6610;Approximate location;Батятичі, Львівська область, Україна, 80423;50.10944,24.27607;;;
f68t2YX4;6610;Approximate location;Солянуватка, Львівська область, Україна, 82040;49.59244,22.78405;;;
-kUn4byl;6610;Approximate location;Брониця, Львівська область, Україна;49.4458,23.43846;;;land plots (in the amount of 47 land plots) with a total area of 99.3341 ha on the territory of the village of Bronytsya
OxLWy71E;6610;Approximate location;Нагуєвичі, Львівська область, Україна;49.36443,23.32933;;;land plots (in the amount of 79 land plots) with a total area of 29.6307 hectares in the Nahuyevych village
uPTVzAQm;6610;Approximate location;Ступниця, Львівська область, Україна;49.42856,23.32428;;;land plots (in the amount of 135 land plots) with a total area of 121.4971 ha on the territory of the village of Stupnytsya
q2QRUtmS;6610;Approximate location;с. Ріпчиці, Львівська область, Україна;49.42354,23.7244;;;4,55 ha
E7jLI1EV;6610;Exact location;;50.3025,24.53109;;https://kadastr.live/parcel/4623983400:03:000:0692;"Size - 39.1575
Cadastral number - 4623983400:03:000:0692"
JiYEPaJZ;6610;Exact location;;50.3161,24.60216;;https://kadastr.live/parcel/4623984500:06:000:0322;"Size - 	68.0539 ha
Cadastral number - 4623984500:06:000:0322"
Wb8crX3D;6610;Exact location;;50.38565,24.42312;;https://kadastr.live/parcel/4623984600:03:000:1507;"Size - 26.6043 ha
Cadastral number - 4623984600:03:000:1507"
J6aLlKR0;6610;Exact location;;50.25736,24.61743;;https://kadastr.live/parcel/4623985200:05:000:0500;"Size - 83.5351 ha
Cadastral number - 4623985200:05:000:0500"
0-pSCQaa;6610;Exact location;;49.6076,23.39641;;https://kadastr.live/parcel/4624284300:07:000:0503;"Size - 22.4573 ha
Cadastral number - 4624284300:07:000:0503"
NbqkhdsY;6610;Exact location;;49.6463,23.3892;;https://kadastr.live/parcel/4624284300:12:000:0550;"Size - 30.224 ha
Cadastral number - 4624284300:12:000:0550"
d3dw27KG;6610;Exact location;;49.64334,23.38122;;https://kadastr.live/parcel/4624284300:11:000:0733;"Size - 43.5252 ha
Cadastral number - 4624284300:11:000:0733 "
zkBzuZtN;6610;Exact location;;49.48533,23.29187;;https://kadastr.live/parcel/4624282800:03:000:0065;"Size - 29.5111 ha
Cadastral number - 4624282800:03:000:0065"
AX5Z9a2o;6610;Exact location;;49.65497,23.31227;;https://kadastr.live/parcel/4624284000:04:000:0505;"Size - 12.1125 ha
Cadastral number - 4624284000:04:000:0505"
S4yAJ-di;6610;Exact location;;49.55652,23.35123;;https://kadastr.live/parcel/4624283100:02:000:0112;"Size - 19.6782 ha
Cadastral number - 4624283100:02:000:0112"
tCGCrTAI;6612;Approximate location;Веселе, Волинська область, Україна, 45611;50.80587,25.04246;;;
g5HYVPXF;6612;Approximate location;Смолигів, Волинська область, Україна, 45614;50.76269,24.95864;;;
bOpYrBBP;6612;Approximate location;Хорохорин, Волинська область, Україна, 45610;50.82781,24.94635;;;
39qyst4d;6613;Approximate location;Перемиль, Волинська область, Україна;50.39685,25.16281;;;
TKIDqrbF;6613;Approximate location;Лешнів, Львівська область, Україна, 80613;50.24287,25.08486;;;
doxQUjQ2;6613;Approximate location;Липа, Волинська область, Україна;50.43588,25.13092;;;
Irp3-sh0;6613;Approximate location;Новосілки, Волинська область, Україна;50.46485,24.98674;;;
x5ByguCI;6613;Approximate location;Жабче, Волинська область, Україна;50.48868,25.14116;;;
kN_plbK6;6613;Approximate location;Колодеже, Волинська область, Україна;50.50528,25.081;;;
Qm6bZ9lE;6613;Approximate location;Скригове, Волинська область, Україна;50.35622,24.92607;;;
mYd79y2F;6613;Approximate location;Смолява, Волинська область, Україна;50.40404,25.09272;;;
OHmGzvUO;6613;Approximate location;Шклинь, Волинська область, Україна;50.57382,24.99873;;;
1Wrw8PSd;6613;Approximate location;Лешнів, Львівська область, Україна;50.24287,25.08486;;;
v1LeGl-Z;6613;Approximate location;Сморжів, Львівська область, Україна;50.29704,25.0165;;;
2TE8i72Z;6613;Approximate location;Боремель, Рівненська область, Україна;50.47713,25.17931;;;
tz2Nilej;6615;Coordinates;Petrusburg, 9932, South Africa;-28.912833,25.431111;;Situated in the near the agricultural towns of Ladybrand and Petrusburg in the Free State.;
IIEkyq49;6617;Administrative region;Михайловка, Приморский край, Росія, 692651;43.92894,132.01107;;;
MSlTelJk;6618;Approximate location;Пардіна 827180, Румунія;45.30894,28.95802;;;
SuG6m8Sn;6624;Approximate location;Шнирів, Львівська область, Україна, 80620;50.17916,25.17058;;;
k_oUSJiB;6624;Approximate location;Козин, Рівненська область, Україна;50.26656,25.46853;;;
0RoD64BP;6624;Approximate location;Панасівка, Тернопільська область, Украина;49.46995,25.89511;;;
tEtyDL7h;6624;Approximate location;Комарівка, Львівська область, Україна;50.27068,25.18474;;;
jW9etPDB;6624;Approximate location;с. Черниця, Львівська область, Україна;49.97517,25.26729;;;
LQeHfx-M;6624;Approximate location;Пеняки, Львівська область, Україна;49.89364,25.18538;;;
8cUcjJC1;6626;Approximate location;Квітневе, Рівненська область, Україна, 35629;50.4842,26.06565;;;
MHAGg_rR;6626;Approximate location;Варковичі, Рівненська область, Україна;50.46819,25.95892;;;
Xnx56zq-;6626;Approximate location;Озеряни, Рівненська область, Україна;50.4667,26.03459;;;
L5n-BE24;6626;Approximate location;Княгинине, Рівненська область, Україна;50.43019,26.04819;;;
YpaxpNM8;6626;Approximate location;Гірники, Рівненська область, Україна;50.378,25.83807;;;
61Ty8dcf;6626;Approximate location;Семидуби, Рівненська область, Україна;50.34423,25.81157;;;
k9_q4NEe;6626;Approximate location;Соснівка, Рівненська область, Україна;50.32085,25.93289;;;
1mmZAS2w;6626;Approximate location;Півче, Рівненська область, Україна;50.35559,26.12808;;;
JV05iWuQ;6626;Approximate location;Ступно, Рівненська область, Україна;50.33095,26.00617;;;
M4XLjs83;6627;Approximate location;Забара, Рівненська область, Україна, 34742;50.59612,27.0616;;As of 2024, approximately, 2188 land plots are leased within this region ;
IB1OXrZ-;6627;Administrative region;Славутський район, Хмельницька область, Україна;50.4056,26.9816;;As of 2024, approximately 885 land plots are leased within this region ;
h-one9jQ;6627;Administrative region;Гощанський район, Рівненська область, Україна;50.59304,26.58473;;;
zCYitWgi;6627;Administrative region;Корецький район, Рівненська область, Україна;50.64756,27.08501;;;
OsKZxBAv;6627;Approximate location;Ногачівка, Хмельницька область, Україна;50.43039,27.03272;;;
TGLeUpUU;6629;Approximate location;Великі Дедеркали, Тернопільська область, Україна, 47144;50.0278,26.1196;;;
XuyJMPFJ;6629;Approximate location;Малі Дедеркали, Тернопільська область, Україна, 47173;50.0426,26.1096;;;
1Y1pPJdt;6629;Approximate location;Ланівці, Тернопільська область, Україна;49.87788,26.09158;;;
BSwh9cUj;6629;Approximate location;Бережанка, Тернопільська область, Україна;49.82572,26.00632;;;
kWviWujG;6629;Approximate location;Борщівка, Тернопільська область, Україна;49.91571,25.94568;;;
94lLsXFp;6629;Approximate location;Верещаки, Тернопільська область, Україна;49.73585,25.96428;;;
DZMK-05i;6629;Approximate location;Загірці, Тернопільська область, Україна;49.9411,26.11412;;;
MC1jZakH;6629;Approximate location;Мала Білка, Тернопільська область, Україна;49.81012,25.96859;;;
jn8RguGs;6629;Approximate location;Матвіївці, Тернопільська область, Україна;49.95566,25.98517;;;
yYOukh8I;6629;Approximate location;Москалівка, Тернопільська область, Україна;49.75673,26.12761;;;
Tu1OPHj-;6629;Approximate location;Печірна, Тернопільська область, Україна;49.74422,26.01485;;;
U8hpCdHq;6629;Approximate location;Піщатинці, Тернопільська область, Україна;49.9651,25.92289;;;
1_n262bp;6629;Approximate location;Шкроботівка, Тернопільська область, Україна;50.00207,26.18614;;;
wU-JrUfH;6629;Approximate location;Боложівка, Тернопільська область, Україна;50.11595,26.2279;;;
Oi_ZfXF6;6629;Approximate location;Васьківці, Тернопільська область, Україна;50.14912,26.09633;;;
LuvHmUkn;6629;Approximate location;Великі Загайці, Тернопільська область, Україна;50.00625,26.02632;;;
LwMc6oEt;6629;Approximate location;Залісці, Тернопільська область, Україна;49.96506,25.64621;;;
NEBXWjsI;6629;Approximate location;Літовище, Тернопільська область, Україна;50.19064,26.03843;;;
avF8XEk4;6629;Approximate location;Онишківці, Тернопільська область, Україна;50.12021,26.14191;;;
2EcIoITh;6632;Coordinates;Волиця-Керекешина, Хмельницька область, Україна, 31121;49.81672,27.0854;;https://kadastr.live/parcel/6824282100:03:020:0001;"Size - 72.78 ha,
Ownership - Communal,
Cadastral number - 6824282100:03:020:0001
The information is taken from the cadastral map of Ukraine"
3C240q5r;6632;Approximate location;Драчі, Хмельницька область, Україна, 31111;49.9076,27.02718;;;
SddXg5PS;6632;Exact location;Городнявка, Хмельницька область, Україна, 30413;50.29685,27.26989;;;One of the land leased by the Company. Cadastral number 6825582600:07:021:0305 . Size - 1.3815 ha. Owner - private. The date of state registration - 26.05.2014
jFNqOXU-;6632;Exact location;Велика Калинівка, Хмельницька область, Україна, 31312;49.5264,26.92368;;;One of the land leased by the Company. Cadastral number 6823682000:04:003:0031. Size - 3.0217 ha. Owner - private. The date of state registration - 08.09.2020
Hm329CDm;6632;Approximate location;Андронівка, Khmelnytskyi Oblast, Ukraine;49.93925,27.09078;;;Place of water use
TXfqq8jf;6632;Approximate location;Микулин, Khmelnytskyi Oblast, Ukraine;49.98577,27.28687;;;Place of water use
AyLfFDrH;6632;Approximate location;Попівці, Khmelnytskyi Oblast, Ukraine;49.65382,26.53234;;;Place of water use
mVfoRGN3;6632;Coordinates;;49.83355,27.1146;;https://kadastr.live/parcel/6824282100:03:007:0011;"Size - 21.0931 ha,
Ownership - Communal,
Cadastral number - 6824282100:03:007:0011
The information is taken from the cadastral map of Ukraine"
oFnfF7b6;6635;Approximate location;Сербинівка, Хмельницька область, Україна, 31144;49.80246,27.57089;;;
YIOiWZ2F;6635;Approximate location;Громівка, Хмельницька область, Україна;49.80524,27.29005;;;
drpUftip;6635;Approximate location;Половинники, Хмельницька область, Україна;49.81247,27.31589;;;
FnxZESR7;6635;Approximate location;Огіївці, Хмельницька область, Україна;49.83474,27.29352;;;
MX1o3xul;6635;Approximate location;Писарівка, Хмельницька область, Україна;49.52067,26.44489;;;
gl9l9acB;6635;Approximate location;Радківці, Хмельницька область, Україна;49.8261,27.22969;;;
8p3eYDQp;6635;Approximate location;Демківці, Хмельницька область, Україна;49.07062,26.3764;;;
c23lPIYa;6635;Approximate location;Губча, Хмельницька область, Україна;49.90462,27.15408;;;
MtBPagf6;6635;Approximate location;Зеленці, Хмельницька область, Україна;49.88612,27.12342;;;
VigV1RYt;6635;Approximate location;Сахнівці, Хмельницька область, Україна;49.76631,27.32916;;;
4rUATZEk;6635;Approximate location;Сербинівка, Хмельницька область, Україна;49.80245,27.57089;;;
MvtuVdFe;6635;Approximate location;Калинівка, Хмельницька область, Україна;49.78504,27.52037;;;
lwK68qwP;6635;Approximate location;Левківка, Хмельницька область, Україна;49.79066,27.56299;;;
WRwcAIev;6635;Approximate location;Старий Остропіль, Хмельницька область, Україна;49.80772,27.55581;;;
vlg9TUhO;6638;Approximate location;Васьківці, Хмельницька область, Україна, 30302;50.09602,26.793;;;
hFNOPF63;6638;Approximate location;Яблунівка, Хмельницька область, Україна, 30087;50.3925,27.2221;;;
wRQcgVbH;6638;Approximate location;Женишківці, Хмельницька область, Україна, 32524;49.10397,27.38703;;;
_ZIE27QR;6638;Approximate location;Віньковецький район, Хмельницька область, Україна;49.00991,27.27537;;;
lHZCLzNR;6638;Approximate location;Гришки, Хмельницька область, Україна;49.18465,27.75186;;;"One of the cadastral number of leased plots - 6821582500:02:034:0010
6821582500:02:005:0078
6821582500:02:005:0061"
wT33tPpc;6638;Approximate location;Великі Мацевичі, Хмельницька область, Україна;49.87671,27.30775;;;
91ZGbnhJ;6638;Approximate location;Стецьки, Хмельницька область, Україна;49.87934,27.19395;;;
pHzXjB-6;6640;Approximate location;Слобідка-Охрімовецька, Хмельницька область, Україна, 32523;49.09919,27.25642;;;
jzQiLoJk;6640;Approximate location;Петрашівка, Хмельницька область, Україна;49.10318,27.19788;;;
w2fLQpqF;6641;Approximate location;Песець, Хмельницька область, Україна, 32625;48.77882,27.19122;;;
GMVmJ3aW;6641;Approximate location;Велика Кужелева, Хмельницька область, Україна;48.88431,27.09609;;;
R0N5NwrO;6641;Approximate location;Голозубинці, Хмельницька область, Україна;48.83528,26.90384;;;
GCIL4cV5;6641;Approximate location;Гута-Яцковецкая, Хмельницька область, Україна;48.76986,26.87886;;;
40550CbR;6641;Approximate location;Миньківці, Хмельницька область, Україна;48.8496,27.10465;;;
jnuCH6zs;6641;Approximate location;Рачинці, Хмельницька область, Україна;48.80732,26.91277;;;
weRLhvmw;6641;Approximate location;Сокілець, Хмельницька область, Україна;48.74937,27.05664;;;
mBJjRvz-;6641;Approximate location;Дерев'яне, Хмельницька область, Україна;48.70676,26.83423;;;
TiXWMgmn;6641;Approximate location;Супрунківці, Хмельницька область, Україна;48.74999,26.77485;;;
EJk9KcEb;6641;Approximate location;Борсуки, Хмельницька область, Україна;48.71481,27.17146;;;
iEj0fGA5;6641;Approximate location;Браїлівка, Хмельницька область, Україна;48.87855,27.26809;;;
uGfjGrFG;6641;Approximate location;Бучая, Хмельницька область, Україна;48.75905,27.09318;;;
9StLsRII;6641;Approximate location;Вахнівці, Хмельницька область, Україна;48.64389,27.10479;;;
9fS0Tf76;6645;Administrative region;Кельменці, Чернівецька область, Україна;48.44351,26.84213;;;
oPnHjaxv;6645;Approximate location;Бабин, Чернівецька область, Україна;48.523,26.85754;;;
yD8ahas1;6645;Approximate location;Грушівці, Чернівецька область, Україна;48.54812,26.8218;;;
iJBESLDL;6645;Approximate location;Нагоряни, Чернівецька область, Україна;48.54304,26.79911;;;
swiZQjX5;6646;Approximate location;Муровані Курилівці, Вінницька область, Україна, 23400;48.71673,27.51786;;;
slwGBID0;6646;Approximate location;Конищів, Вінницька область, Україна, 23410;48.88204,27.49278;;;
Dccl30Ee;6646;Exact location;Жван, Вінницька область, Україна, 23424;48.61277,27.47994;;;
zWNb0dNj;6646;Approximate location;Бахтин, Вінницька область, Україна, 23412;48.81222,27.48429;;;
mKgSlRLA;6646;Approximate location;Долиняни, Вінницька область, Україна, 23415;48.82244,27.58669;;;
xr2FBEwe;6646;Approximate location;Ялтушків, Вінницька область, Україна;48.99228,27.50332;;;
1lbfZQVF;6646;Approximate location;Конищів, Вінницька область, Україна;48.88204,27.49278;;;
1VgS7E2c;6646;Approximate location;Михайлівці, Вінницька область, Україна;48.87325,27.52158;;;
o27dIlRg;6646;Approximate location;Курашівці, Вінницька область, Україна;48.77707,27.59925;;;
jmrf-o5Y;6646;Approximate location;Вищеольчедаїв, Вінницька область, Україна;48.72539,27.68328;;;
Jn1hPLpk;6646;Approximate location;Вербовець, Вінницька область, Україна;48.71774,27.42983;;;
dY2VfQgo;6646;Approximate location;Бахтин, Вінницька область, Україна;48.81222,27.48428;;;
Xh8Vzy9O;6646;Approximate location;Кривохижинці, Вінницька область, Україна;48.80808,27.55814;;;
WkjRsbVM;6646;Approximate location;Роздолівка, Вінницька область, Україна;48.71893,27.56701;;;
0XJhPFzP;6646;Approximate location;Петримани, Вінницька область, Україна;48.77289,27.46311;;;
gyeuZT5g;6647;Approximate location;Плебанівка, Вінницька область, Україна, 23510;48.79601,28.00546;;;
9ukrXawx;6647;Approximate location;Kopaihorod, Вінницька область, Україна;48.85409,27.79966;;;
T8mm8Deh;6647;Approximate location;Karyshkiv, Вінницька область, Україна;48.81948,27.89547;;;
8pigPdtk;6648;Approximate location;Ялтушків, Вінницька область, Україна, 23021;48.99228,27.50332;;;
WlqNFCTJ;6648;Approximate location;Барок, Вінницька область, Україна;48.84914,27.68549;;;
zARrDPsA;6648;Approximate location;Квітка, Вінницька область, Україна;49.17386,27.79589;;;
dWdZ2bAU;6648;Approximate location;Балківка, Вінницька область, Україна;48.763,27.54086;;;
Fai9HpCv;6648;Approximate location;Володіївці, Вінницька область, Україна;48.57626,28.21904;;;
qj_4D68w;6648;Approximate location;Гармаки, Вінницька область, Україна;49.10738,27.54355;;;
HdHh3dlZ;6648;Approximate location;Журавлівка, Вінницька область, Україна;48.64159,28.72481;;;
zfVrzMie;6648;Approximate location;Лука-Барская, Вінницька область, Україна;49.15087,27.79745;;;
BYh0hymi;6648;Approximate location;Мигалівці, Вінницька область, Україна;49.03087,27.54393;;;
EmLxQC7z;6648;Approximate location;Підлісний Ялтушків, Вінницька область, Україна;48.92577,27.54997;;;
pikB7NUN;6648;Approximate location;Супівка, Вінницька область, Україна;48.84228,27.64123;;;
w5JzSJF-;6648;Approximate location;Чемериське, Вінницька область, Україна;49.04621,27.58485;;;
ByI9NXZm;6648;Approximate location;Нетечинці, Хмельницька область, Україна;49.07431,27.31115;;;
aAaDrbu8;6648;Approximate location;Женишківці, Хмельницька область, Україна;49.10397,27.38702;;;
PWLtpeT0;6649;Approximate location;Літин, Вінницька область, Україна, 22300;49.3231,28.08231;;;
zQdM38DF;6649;Approximate location;Теси, Вінницька область, Україна;49.46749,27.77791;;;
YTrdz_7C;6649;Approximate location;Миколаевка, Вінницька область, Україна;49.4367,28.13177;;;
U5cKi9_2;6649;Approximate location;Вінниківці, Вінницька область, Україна;49.23689,27.88248;;;
EymeFT-i;6649;Approximate location;Івча, Вінницька область, Україна;49.41188,28.04303;;;
bFpaEQWw;6650;Approximate location;Миропіль, Житомирська область, Україна, 13033;50.10689,27.70777;;;
ORxDnW-f;6650;Approximate location;Полонський район, Хмельницька область, Україна;50.01769,27.4606;;;
lXTElHvV;6650;Approximate location;Новоселиця, Хмельницька область, Україна;50.07135,27.52194;;;
lmMkIk0L;6651;Approximate location;Коростишівський район, Житомирська область, Україна;50.3409,28.89472;;;
DMEGlHdJ;6651;Approximate location;Кам'яний Брід, Житомирська область, Україна, 12720;50.41617,27.8387;land;;775 ha of land
e4oRl6El;6651;Approximate location;Студеница, Житомирська область, Україна;50.3409,28.89472;;;
PQytqXXh;6651;Approximate location;Городське, Житомирська область, Україна;50.37489,29.16257;;;
w410gcgJ;6651;Approximate location;Козіївка, Житомирська область, Україна;50.3657,29.1138;;;
tMkKA1KR;6651;Approximate location;Садове, Житомирська область, Україна;50.43412,29.02842;;;
C3VpeJ3f;6651;Approximate location;Слобідка, Житомирська область, Україна;50.4487,28.89176;;;
VKpCr1fR;6651;Approximate location;Старосільці, Житомирська область, Україна;50.40592,28.98702;;;
7swv7Oyk;6656;Approximate location;Новий Корогод, Київська обл., Україна, 07843;50.59219,29.79234;;;
vkjd4QYX;6656;Approximate location;Велика Олександрівка, Київська область, Україна;50.39264,30.87855;;;
L5KRmEy9;6656;Approximate location;Перегуди, Київська область, Україна;50.45048,31.03603;;;
8zrMMHLq;6656;Approximate location;Бишів, Київська область, Україна;50.2646,29.88357;;;
I56-XDEE;6657;Approximate location;Носівка, Чернігівська область, Україна, 17101;50.93743,31.58752;;;
2HKm4zqA;6657;Approximate location;Мрин, Чернігівська область, Україна, 17113;51.04987,31.55056;;;
1KDQ2aGU;6657;Approximate location;Плоске, Чернігівська область, Україна;51.0657,31.65214;;;
tlgvT1qH;6657;Approximate location;Держанівка, Чернігівська область, Україна;51.06548,31.33853;;;
pRF6xdPu;6658;Approximate location;Вертіївка, Чернігівська область, Україна, 16625;51.16666,31.84662;;;
KeEwpHeS;6658;Approximate location;Кропивне, Чернігівська область, Україна, 16574;50.90178,32.84319;;;
fjKY21eO;6658;Approximate location;Стодоли, Чернігівська область, Україна;51.19949,31.59823;;;
UfIaV9U8;6658;Approximate location;Ніжинське, Чернігівська область, Україна;51.00557,31.83177;;;
SErugdMa;6658;Approximate location;Колісники, Чернігівська область, Україна;51.08618,31.71891;;;
6NQHZAMC;6658;Approximate location;Кукшин, Чернігівська область, Україна;51.16885,31.6518;;;
UmX9dcgC;6658;Approximate location;Бобрик, Чернігівська область, Украина;51.13239,31.77742;;;
G1PEJsfj;6658;Approximate location;Яблуневе, Чернігівська область, Україна;51.10197,31.89921;;;
Upk9oYGe;6659;Approximate location;Гайворон, Чернігівська область, Україна, 16563;50.98524,32.91175;;;
F9FGFKie;6659;Approximate location;Рождественське, Чернігівська область, Україна;51.46736,32.92312;;;
JGpABBJy;6659;Approximate location;Рубанка, Чернігівська область, Україна;50.95428,32.81091;;;
FNUCBww1;6659;Approximate location;Вишеньки, Чернігівська область, Україна;51.64436,33.06358;;;
BEkvmQKW;6659;Approximate location;Нехаївка, Чернігівська область, Україна;51.49119,32.8147;;;
JIZRHdk_;6659;Approximate location;Риботин, Чернігівська область, Україна;51.55775,32.90296;;;
tsoSIWvS;6659;Approximate location;Рижки, Чернігівська область, Україна;51.45537,32.76471;;;
aGL4CHD7;6659;Approximate location;Розльоти, Чернігівська область, Україна;51.70816,33.13307;;;
ah8CuRjK;6659;Approximate location;Сохачі, Чернігівська область, Україна;51.55539,32.84953;;;
oE1xbIwg;6659;Approximate location;Атюша, Chernihiv Oblast, Ukraine;51.42181,32.99737;;;
rBEuAK09;6660;Approximate location;Савинки, Чернігівська область, Україна, 15360;51.75627,32.45596;;;
uaFTbPAc;6661;Approximate location;Коростень, Житомирська область, Україна, 11500;50.95321,28.64575;;;
y8ByTb94;6662;Approximate location;Семенівка, Чернігівська область, Україна, 15401;52.18146,32.58399;;;
RCZO4Hl1;6662;Approximate location;Янжулівка, Чернігівська область, Україна, 15412;52.29257,32.55646;;;
gkh_052j;6662;Approximate location;Миколаївка, Чернігівська область, Україна, 17560;50.62084,31.92186;;;
5N7lWyYe;6663;Approximate location;Сопич, Сумська область, Україна, 41412;51.84847,34.35722;;;
d9poCVFO;6663;Approximate location;Бачівськ, Сумська область, Україна;51.84499,34.27283;;;
aonATZG7;6663;Approximate location;Товстодубове, Сумська область, Україна;51.85489,34.2429;;;
CXwKGeKY;6663;Approximate location;Кореньок, Сумська область, Україна;51.79649,34.31977;;;
Exaqr1Zp;6668;Approximate location;Князівка, Сумська область, Україна, 41543;51.32215,33.95225;;;"Cadastral number - 5923885800:01:004:0137; Size - 5.349 ha; Owner - Private."
hGLM7Dd2;6668;Approximate location;Мінакове, Сумська область, Україна, 41543;51.32006,33.92252;;;"Cadastral number - 5923885800:03:001:0010; Size - 5.261 ha; Owner - private"
IzQCvuG1;6668;Approximate location;Бояро-Лежачі, Сумська область, Україна;51.27017,34.20847;;;
pWPb4_nk;6668;Approximate location;Вязенка, Сумська область, Україна;51.42997,33.91279;;;
zjskAhpV;6668;Approximate location;Веселівка, Сумська область, Україна;51.19958,34.93746;;;
64pjVlr-;6668;Approximate location;Зиново, Сумська область, Україна;51.26148,33.91154;;;
1SYGfn3r;6668;Approximate location;Мачулища, Сумська область, Україна;51.42935,34.09527;;;
ZX75ogc7;6668;Approximate location;Чорнобривкине, Сумська область, Україна;51.35397,33.81894;;;
G291zPPX;6668;Exact location;;51.33336,34.02294;;https://kadastr.live/parcel/5923884400:02:002:0443;"Cadastral number 5923884400:02:002:0443
area 95.0925 hectares
ownership Communal property"
WfUjaIMt;6668;Exact location;;51.38805,33.85506;;https://kadastr.live/parcel/5923888100:07:002:0351;"Cadastral number 5923888100:07:002:0351
area 67.1558 hectares
ownership Communal property"
qEllcLlx;6668;Exact location;;51.48864,34.05213;;https://kadastr.live/parcel/5923881400:01:003:0284;"Cadastral number 5923881400:01:003:0284
area 51.7025 hectares
ownership Communal property"
rtz4_R6d;6668;Exact location;;51.41658,34.10054;;https://kadastr.live/parcel/5923885400:04:002:0075;"Cadastral number 5923885400:04:002:0075
area 46.6856 hectares
ownership Communal property"
fPUgdHy_;6668;Exact location;;51.389,34.01946;;https://kadastr.live/parcel/5923884800:07:001:0483;"Cadastral number 5923884800:07:001:0483
area 45.5545 hectares
ownership Communal property"
e_s8NXiI;6669;Approximate location;Ворожба, Сумська область, Україна, 41811;51.16338,34.25081;;;
gaRxzgjA;6669;Approximate location;Бишкінь, Сумська область, Україна;50.63218,34.61716;;;
MPXxokcj;6669;Approximate location;Великий Вистороп, Сумська область, Україна;50.69383,34.78732;;;
Xuyu0D2Q;6669;Approximate location;Гарбузівка, Сумська область, Україна;50.59649,34.73537;;;
EvuOqKnZ;6669;Approximate location;Гринцеве, Сумська область, Україна;50.76345,34.2484;;;
B41JaNOU;6669;Approximate location;Калюжне, Сумська область, Україна;50.50078,34.55785;;;
TYWw1tbY;6669;Coordinates;Лободівщина, Sumy Oblast, Ukraine;50.73511,34.56908;;Well No. 17 (Vorozhba River, Psyol River basin). Water collection from underground sources.;
yojgg_iA;6669;Coordinates;Дмитрівка, Сумська область, Ukraine;50.79325,34.17883;;Location of well No. 5 (Sula River basin). Water collection from underground sources.;
RYp9MM75;6670;Approximate location;Рясне, Сумська область, Україна, 42452;50.69171,35.39504;;;
GRt-RP2l;6670;Approximate location;Земляне, Сумська область, Україна;50.68723,35.29487;;;
O3FVntXM;6671;Approximate location;Шахворостівка, Полтавська область, Україна, 37653;49.99695,33.49169;;;
YG0foLQ1;6671;Approximate location;Любівщина, Полтавська область, Україна, 37602;49.98587,33.55663;;;
8cCRJ3KI;6671;Approximate location;Ромодан, Полтавська область, Україна, 37651;49.99164,33.33035;;;1500 ha
rQLlJnOI;6671;Approximate location;Зуївці, Полтавська область, Україна, 37630;50.18096,33.76105;;;127
iolm-Dox;6671;Approximate location;Клюшники, Полтавська область, Україна, 38762;49.52375,34.64008;;;1500 ha
o8w-rGGz;6672;Approximate location;Кобзарівка, Харківська область, Україна, 63044;49.79193,35.67014;;;
ukq8NoAb;6672;Approximate location;Сніжків, Харківська область, Україна;49.79446,35.51371;;;
wXjhZlFi;6673;Approximate location;Миколо-Комишувата, Харківська область, Україна, 63310;49.64283,35.49647;;;
9Z7wlxln;6673;Approximate location;Старовірівка, Харківська область, Україна;49.54572,35.73809;;;
gpR8_0vy;6673;Approximate location;Станичне, Харківська область, Україна;49.63583,35.73097;;;
ysVmWuKk;6673;Approximate location;Хрестище, Харківська область, Україна;49.55411,35.51669;;;
yw2VPPx5;6673;Approximate location;Кирилівка, Харківська область, Україна;49.51174,35.60373;;;
7_J83p38;6681;Approximate location;Вербів, Тернопільська область, Україна, 47514;49.52835,24.8572;;;
xf8hyXC3;6681;Approximate location;Поплави, Тернопільська область, Україна, 48013;49.31089,25.25932;;;
NWfndYhk;6681;Approximate location;Мужилів, Тернопільська область, Україна, 48011;49.3074,25.09979;;;
AxvzesHD;6681;Approximate location;Голгоча, Тернопільська область, Україна, 48024;49.18979,25.15272;;;
a6c8zQoC;6681;Approximate location;Крогулець, Тернопільська область, Україна;49.0993,26.01388;;;
vQTKvnz6;6681;Approximate location;Козова, Тернопільська область, Україна;49.43057,25.15808;;;
uSovGFse;6697;Approximate location;Oromia, Ethiopia;7.54604,40.63469;;;Located in Southwestern Ethiopia in the heart of the Oromia region
rMw6eYw3;6706;Approximate location;Семенівка, Чернігівська область, Україна, 15401;52.18146,32.58399;;;
vLKas9EY;6707;Approximate location;Tarasivka, Brovars'kyi district, Київська область, Україна;50.61844,31.00524;;;
